NAME,TYPE,LON 經度,LAT 緯度,,
民權公園,防災公園,121.5591736,25.061910629,,
青年公園,防災公園,121.505867,25.025110245,,
二二八和平公園,防災公園,121.514297,25.042286,,
大安森林公園,防災公園,121.5358429,25.0333004,,
松德公園,防災公園,121.573288,25.036020279,,
南港公園,防災公園,121.5919113,25.043069839,,
景華公園,防災公園,121.5437927,24.995189667,,
市民廣場,廣場(2000平方公尺以上),121.5627518,25.03664017,,
行旅廣場,廣場(2000平方公尺以上),121.5132041,25.0477977,,
交7廣場,廣場(2000平方公尺以上),121.5167618,25.04647064,,
北投3號廣場,廣場(2000平方公尺以上),121.4978409,25.13195992,,
信義廣場,廣場(2000平方公尺以上),121.56604,25.03347969,,
西本願寺（萬華406號）廣場,廣場(2000平方公尺以上),121.5070801,25.04030037,,
忠信廣場,廣場(2000平方公尺以上),121.5679092,25.0405407,,
北門廣場,廣場(2000平方公尺以上),121.5116831,25.0480021,,
信義21號廣場,廣場(2000平方公尺以上),121.5644684,25.03473091,,
六藝廣場,廣場(2000平方公尺以上),121.5150528,25.07468987,,
交通4號廣場,廣場(2000平方公尺以上),121.5188065,25.04738045,,
天母廣場,廣場(2000平方公尺以上),121.5300827,25.11874962,,
士林4號廣場,廣場(2000平方公尺以上),121.5319901,25.09605026,,
港富廣場,廣場(2000平方公尺以上),121.5781174,25.08029938,,
建成圓環,廣場(2000平方公尺以上),121.5142952,25.0527604,,
交通8號廣場,廣場(2000平方公尺以上),121.51651,25.05031967,,
士林3號廣場,廣場(2000平方公尺以上),121.5246124,25.10453033,,
太原廣場,廣場(2000平方公尺以上),121.5166397,25.04747963,,
景聯廣場,廣場(2000平方公尺以上),121.5614014,25.03252029,,
合心廣場,廣場(2000平方公尺以上),121.583458,25.04660988,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
